LogIntensity,ResolutionRange
6.508638,Inf-12.64
3.268514,Inf-12.64
3.840689,Inf-12.64
6.939949,Inf-12.64
7.727077,Inf-12.64
7.051953,Inf-12.64
6.495150,Inf-12.64
5.412974,Inf-12.64
6.416682,Inf-12.64
1.904517,Inf-12.64
5.779363,Inf-12.64
3.906463,Inf-12.64
4.913857,Inf-12.64
4.652971,Inf-12.64
7.814904,Inf-12.64
2.746630,Inf-12.64
4.203202,Inf-12.64
3.041844,Inf-12.64
5.482997,Inf-12.64
5.163456,Inf-12.64
6.350187,Inf-12.64
3.628965,Inf-12.64
4.407140,Inf-12.64
5.967716,Inf-12.64
7.226849,Inf-12.64
7.671866,Inf-12.64
7.402148,Inf-12.64
7.916701,Inf-12.64
4.219864,Inf-12.64
5.612432,Inf-12.64
3.847346,Inf-12.64
1.633965,Inf-12.64
6.902439,Inf-12.64
2.974938,Inf-12.64
5.825486,Inf-12.64
4.948211,Inf-12.64
7.134723,Inf-12.64
5.609179,Inf-12.64
5.428423,Inf-12.64
6.019056,Inf-12.64
5.484223,Inf-12.64
2.708367,Inf-12.64
2.419951,Inf-12.64
5.766631,Inf-12.64
7.437322,Inf-12.64
5.008970,Inf-12.64
4.566350,Inf-12.64
5.730702,Inf-12.64
5.854961,Inf-12.64
4.916011,Inf-12.64
7.576084,Inf-12.64
2.746630,Inf-12.64
5.754976,Inf-12.64
6.019056,Inf-12.64
3.767611,Inf-12.64
4.829580,Inf-12.64
6.099901,Inf-12.64
5.326037,Inf-12.64
7.074099,Inf-12.64
2.071375,Inf-12.64
5.369481,Inf-12.64
7.303766,Inf-12.64
4.845020,Inf-12.64
3.041844,Inf-12.64
3.862280,Inf-12.64
7.051953,Inf-12.64
5.507543,Inf-12.64
5.428423,Inf-12.64
4.677104,Inf-12.64
4.532243,Inf-12.64
7.087479,Inf-12.64
4.532243,Inf-12.64
4.275052,Inf-12.64
7.295704,Inf-12.64
5.484223,Inf-12.64
4.091433,Inf-12.64
6.577388,Inf-12.64
6.414612,Inf-12.64
7.318629,Inf-12.64
3.268514,Inf-12.64
7.555370,Inf-12.64
3.404147,Inf-12.64
4.490891,Inf-12.64
2.511986,Inf-12.64
7.102852,Inf-12.64
5.433904,Inf-12.64
4.726535,Inf-12.64
7.074099,Inf-12.64
4.828423,Inf-12.64
4.275052,Inf-12.64
5.425201,Inf-12.64
7.298139,Inf-12.64
5.779363,Inf-12.64
3.633390,Inf-12.64
4.529916,Inf-12.64
2.693765,Inf-12.64
6.902439,Inf-12.64
4.980297,Inf-12.64
5.553981,Inf-12.64
8.107796,Inf-12.64
5.683317,Inf-12.64
5.634150,Inf-12.64
4.529916,Inf-12.64
4.468687,Inf-12.64
5.507543,Inf-12.64
2.297866,Inf-12.64
4.913857,Inf-12.64
6.011998,Inf-12.64
7.437327,Inf-12.64
1.785367,Inf-12.64
3.923497,Inf-12.64
4.668668,Inf-12.64
5.612432,Inf-12.64
5.323560,Inf-12.64
1.995047,Inf-12.64
5.730702,Inf-12.64
6.578418,Inf-12.64
4.668775,Inf-12.64
5.317772,Inf-12.64
1.785367,Inf-12.64
6.470799,Inf-12.64
4.455243,Inf-12.64
7.302717,Inf-12.64
6.163385,Inf-12.64
6.399828,Inf-12.64
5.066595,Inf-12.64
7.519030,Inf-12.64
3.216529,Inf-12.64
7.158864,Inf-12.64
6.508638,Inf-12.64
5.380651,Inf-12.64
5.826744,Inf-12.64
6.578418,Inf-12.64
4.468687,Inf-12.64
5.197219,Inf-12.64
6.353409,Inf-12.64
3.767611,Inf-12.64
5.719635,Inf-12.64
4.427404,Inf-12.64
5.950133,Inf-12.64
5.219610,Inf-12.64
7.318629,Inf-12.64
6.391252,Inf-12.64
4.978697,Inf-12.64
5.498723,Inf-12.64
5.168565,Inf-12.64
4.482200,Inf-12.64
4.785140,Inf-12.64
5.289299,Inf-12.64
5.601993,Inf-12.64
5.950133,Inf-12.64
6.260816,Inf-12.64
4.420922,Inf-12.64
6.059131,Inf-12.64
4.407140,Inf-12.64
4.678050,Inf-12.64
4.028423,Inf-12.64
5.169573,Inf-12.64
7.555370,Inf-12.64
6.140156,Inf-12.64
7.823667,Inf-12.64
5.039707,Inf-12.64
6.151565,Inf-12.64
5.326037,Inf-12.64
6.132726,Inf-12.64
6.493200,Inf-12.64
4.884573,Inf-12.64
4.427404,Inf-12.64
6.158349,Inf-12.64
3.820191,Inf-12.64
0.631589,12.64-9.89
4.532053,12.64-9.89
6.571328,12.64-9.89
4.111836,12.64-9.89
4.889918,12.64-9.89
3.604983,12.64-9.89
6.377500,12.64-9.89
5.841521,12.64-9.89
5.041934,12.64-9.89
3.284155,12.64-9.89
4.128847,12.64-9.89
1.831631,12.64-9.89
5.608465,12.64-9.89
4.618077,12.64-9.89
6.882796,12.64-9.89
1.511139,12.64-9.89
5.058706,12.64-9.89
3.286535,12.64-9.89
4.489935,12.64-9.89
5.496615,12.64-9.89
3.716113,12.64-9.89
5.696049,12.64-9.89
4.565663,12.64-9.89
3.830365,12.64-9.89
7.285830,12.64-9.89
6.784496,12.64-9.89
4.259136,12.64-9.89
4.006977,12.64-9.89
5.269096,12.64-9.89
5.411646,12.64-9.89
5.199606,12.64-9.89
5.041934,12.64-9.89
3.477376,12.64-9.89
4.920639,12.64-9.89
5.207554,12.64-9.89
4.222318,12.64-9.89
6.449308,12.64-9.89
5.314109,12.64-9.89
3.663850,12.64-9.89
4.688124,12.64-9.89
5.713435,12.64-9.89
5.439716,12.64-9.89
4.352015,12.64-9.89
5.959194,12.64-9.89
3.479984,12.64-9.89
6.121140,12.64-9.89
3.663850,12.64-9.89
5.430256,12.64-9.89
5.496182,12.64-9.89
2.735811,12.64-9.89
3.985370,12.64-9.89
5.756416,12.64-9.89
5.826978,12.64-9.89
7.313086,12.64-9.89
5.083040,12.64-9.89
3.384821,12.64-9.89
4.049479,12.64-9.89
3.926695,12.64-9.89
4.607956,12.64-9.89
3.681040,12.64-9.89
4.070640,12.64-9.89
2.521150,12.64-9.89
5.608465,12.64-9.89
4.365260,12.64-9.89
4.285077,12.64-9.89
5.494553,12.64-9.89
3.574088,12.64-9.89
3.731722,12.64-9.89
4.389438,12.64-9.89
5.939688,12.64-9.89
7.379057,12.64-9.89
3.778450,12.64-9.89
5.527414,12.64-9.89
-0.640577,12.64-9.89
4.499009,12.64-9.89
5.127025,12.64-9.89
6.377500,12.64-9.89
3.313171,12.64-9.89
4.600397,12.64-9.89
4.697332,12.64-9.89
3.384821,12.64-9.89
5.176696,12.64-9.89
1.831631,12.64-9.89
4.259136,12.64-9.89
5.496182,12.64-9.89
4.167314,12.64-9.89
5.593182,12.64-9.89
5.688422,12.64-9.89
4.054116,12.64-9.89
3.076801,12.64-9.89
5.892296,12.64-9.89
2.530288,12.64-9.89
3.985370,12.64-9.89
5.939688,12.64-9.89
5.826978,12.64-9.89
4.698696,12.64-9.89
6.459029,12.64-9.89
3.313171,12.64-9.89
4.222318,12.64-9.89
4.499009,12.64-9.89
6.068907,12.64-9.89
5.869870,12.64-9.89
5.711067,12.64-9.89
6.910731,12.64-9.89
2.979071,12.64-9.89
7.225239,12.64-9.89
2.873095,12.64-9.89
3.604983,12.64-9.89
5.776418,12.64-9.89
5.430256,12.64-9.89
4.028611,12.64-9.89
3.552536,12.64-9.89
5.494553,12.64-9.89
1.934764,12.64-9.89
4.169791,12.64-9.89
3.355612,12.64-9.89
2.764902,12.64-9.89
5.363108,12.64-9.89
3.783820,12.64-9.89
5.481892,12.64-9.89
4.911037,12.64-9.89
3.867031,12.64-9.89
4.025175,12.64-9.89
3.778450,12.64-9.89
3.502211,12.64-9.89
4.099184,12.64-9.89
6.423380,12.64-9.89
7.425068,12.64-9.89
4.677068,12.64-9.89
4.779381,12.64-9.89
7.768620,12.64-9.89
5.083040,12.64-9.89
6.244454,12.64-9.89
4.920639,12.64-9.89
4.636427,12.64-9.89
5.111705,12.64-9.89
4.821093,12.64-9.89
4.246179,12.64-9.89
3.615705,12.64-9.89
4.034689,12.64-9.89
5.234944,12.64-9.89
5.527414,12.64-9.89
3.920086,12.64-9.89
3.450915,12.64-9.89
4.489935,12.64-9.89
5.669444,12.64-9.89
2.727581,12.64-9.89
4.915675,12.64-9.89
3.780905,12.64-9.89
5.855252,12.64-9.89
4.240835,12.64-9.89
4.953537,12.64-9.89
5.089941,12.64-9.89
5.696049,12.64-9.89
2.521150,12.64-9.89
2.772942,12.64-9.89
